ID,Longitude,Latitude,LocalX,LocalY
423,99.819618,29.532406,-17.485565,-51.818417
424,99.829941,29.532381,-16.484938,-51.822693
425,99.840256,29.532354,-15.485048,-51.827084
426,99.850571,29.532328,-14.485158,-51.831387
427,99.860886,29.532301,-13.485268,-51.835598
428,99.871201,29.532272,-12.485377,-51.839935
429,99.881516,29.532244,-11.485485,-51.844177
430,99.891830,29.532213,-10.485594,-51.848541
431,99.902153,29.532183,-9.484961,-51.852825
432,99.912468,29.532150,-8.485068,-51.857224
433,99.922783,29.532118,-7.485174,-51.861530
434,99.933098,29.532085,-6.485279,-51.865749
435,99.943413,29.532051,-5.485384,-51.870094
436,99.953728,29.532017,-4.485488,-51.874344
437,99.964043,29.531981,-3.485592,-51.878719
438,99.974365,29.531944,-2.484955,-51.883003
439,99.984680,29.531908,-1.485057,-51.887199
440,99.994995,29.531870,-0.485158,-51.891514
441,100.005310,29.531830,0.514741,-51.895954
442,100.015625,29.531792,1.514642,-51.900089
443,100.025940,29.531750,2.514543,-51.904564
444,100.036255,29.531710,3.514445,-51.908730
445,100.046577,29.531668,4.515087,-51.913025
446,100.056892,29.531624,5.514990,-51.917439
447,100.067207,29.531580,6.514894,-51.921761
448,100.077522,29.531536,7.514800,-51.925991
449,100.087837,29.531492,8.514706,-51.930138
450,100.098152,29.531445,9.514613,-51.934616
451,100.108467,29.531399,10.514522,-51.938793
452,100.118782,29.531351,11.514430,-51.943092
453,100.129105,29.531303,12.515079,-51.947300
454,100.139420,29.531254,13.514990,-51.951633
455,100.149734,29.531204,14.514901,-51.955872
456,100.160049,29.531153,15.514814,-51.960236
457,100.170364,29.531101,16.514729,-51.964508
458,100.180679,29.531048,17.514643,-51.968906
459,100.190994,29.530996,18.514559,-51.973000
460,100.201309,29.530941,19.514477,-51.977425
461,100.211624,29.530886,20.514395,-51.981766
462,100.221947,29.530830,21.515053,-51.986012
463,100.232262,29.530775,22.514973,-51.990173
464,100.242577,29.530718,23.514894,-51.994453
465,100.252892,29.530659,24.514816,-51.998856
466,100.263206,29.530602,25.514740,-52.002956
467,100.273521,29.530540,26.514666,-52.007389
468,100.283836,29.530481,27.514589,-52.011524
469,100.294151,29.530420,28.514517,-52.015781
470,100.304466,29.530357,29.514448,-52.020157
471,100.314789,29.530294,30.515116,-52.024441
472,100.325104,29.530231,31.515047,-52.028641
473,100.335419,29.530167,32.514980,-52.032963
474,100.345734,29.530102,33.514912,-52.037193
475,100.356049,29.530035,34.514847,-52.041542
476,100.366364,29.529968,35.514782,-52.045807
477,100.376678,29.529902,36.514717,-52.049980
478,100.386993,29.529833,37.514660,-52.054272
479,100.397308,29.529764,38.514599,-52.058479
480,100.407623,29.529694,39.514538,-52.062809
481,100.417938,29.529623,40.514484,-52.067047
482,100.428261,29.529551,41.515167,-52.071404
483,100.438576,29.529478,42.515114,-52.075672
484,100.448891,29.529406,43.515060,-52.079853
485,100.459206,29.529331,44.515007,-52.084152
486,100.469521,29.529257,45.514957,-52.088367
487,100.479836,29.529181,46.514912,-52.092701
488,100.490150,29.529104,47.514862,-52.096947
489,100.500465,29.529028,48.514816,-52.101101
490,99.499817,29.541813,-48.481323,-50.684074
491,99.510139,29.541811,-47.480793,-50.688591
492,99.520454,29.541811,-46.480999,-50.692799
493,99.530769,29.541809,-45.481213,-50.697128
494,99.541092,29.541805,-44.480679,-50.701588
495,99.551407,29.541801,-43.480888,-50.705948
496,99.561722,29.541798,-42.481094,-50.710224
497,99.572037,29.541792,-41.481304,-50.714622
498,99.582359,29.541786,-40.480770,-50.718929
499,99.592674,29.541780,-39.480976,-50.723145
500,99.602989,29.541773,-38.481186,-50.727486
501,99.613312,29.541763,-37.480656,-50.731945
502,99.623627,29.541754,-36.480862,-50.736317
503,99.633942,29.541744,-35.481071,-50.740597
504,99.644257,29.541735,-34.481274,-50.744789
505,99.654579,29.541721,-33.480743,-50.749317
506,99.664894,29.541710,-32.480949,-50.753540
507,99.675209,29.541697,-31.481155,-50.757881
508,99.685524,29.541683,-30.481361,-50.762142
509,99.695847,29.541668,-29.480827,-50.766518
510,99.706161,29.541653,-28.481033,-50.770809
511,99.716476,29.541636,-27.481237,-50.775219
512,99.726799,29.541618,-26.480703,-50.779537
513,99.737114,29.541601,-25.480906,-50.783768
514,99.747429,29.541582,-24.481112,-50.788120
515,99.757744,29.541563,-23.481314,-50.792385
516,99.768066,29.541542,-22.480778,-50.796772
517,99.778381,29.541521,-21.480980,-50.801067
518,99.788696,29.541498,-20.481184,-50.805485
519,99.799019,29.541475,-19.480646,-50.809811
520,99.809334,29.541452,-18.480848,-50.814053
521,99.819649,29.541428,-17.481049,-50.818409
522,99.829964,29.541403,-16.481249,-50.822681
523,99.840286,29.541376,-15.480709,-50.827076
524,99.850601,29.541349,-14.480908,-50.831375
525,99.860916,29.541323,-13.481107,-50.835587
526,99.871231,29.541294,-12.481306,-50.839920
527,99.881554,29.541265,-11.480763,-50.844170
528,99.891869,29.541235,-10.480961,-50.848534
529,99.902184,29.541204,-9.481157,-50.852814
530,99.912506,29.541172,-8.480614,-50.857212
531,99.922821,29.541140,-7.480809,-50.861519
532,99.933136,29.541107,-6.481003,-50.865738
533,99.943451,29.541073,-5.481198,-50.870083
534,99.953773,29.541039,-4.480651,-50.874332
535,99.964088,29.541002,-3.480844,-50.878708
536,99.974403,29.540966,-2.481036,-50.882992
537,99.984718,29.540928,-1.481227,-50.887394
538,99.995041,29.540892,-0.480678,-50.891499
539,100.005356,29.540852,0.519132,-50.895939
540,100.015671,29.540812,1.518943,-50.900288
541,100.025986,29.540771,2.518755,-50.904549
542,100.036308,29.540731,3.519308,-50.908714
543,100.046623,29.540689,4.519121,-50.913010
544,100.056938,29.540646,5.518936,-50.917423
545,100.067253,29.540602,6.518751,-50.921741
546,100.077576,29.540558,7.519306,-50.925976
547,100.087891,29.540512,8.519123,-50.930332
548,100.098206,29.540466,9.518942,-50.934597
549,100.108521,29.540421,10.518760,-50.938774
550,100.118843,29.540373,11.519320,-50.943069
551,100.129158,29.540323,12.519139,-50.947491
552,100.139473,29.540276,13.518961,-50.951611
553,100.149788,29.540224,14.518785,-50.956062
554,100.160110,29.540174,15.519346,-50.960217
555,100.170425,29.540123,16.519173,-50.964489
556,100.180740,29.540070,17.518997,-50.968884
557,100.191055,29.540016,18.518824,-50.973186
558,100.201378,29.539963,19.519390,-50.977402
559,100.211693,29.539907,20.519220,-50.981739
560,100.222008,29.539852,21.519051,-50.985989
561,100.232323,29.539797,22.518881,-50.990143
562,100.242638,29.539740,23.518713,-50.994427
563,100.252960,29.539680,24.519287,-50.998825
564,100.263275,29.539621,25.519121,-51.003136
565,100.273590,29.539562,26.518957,-51.007359
566,100.283905,29.539501,27.518793,-51.011707
567,100.294228,29.539440,28.519371,-51.015957
568,100.304543,29.539379,29.519209,-51.020126
569,100.314857,29.539316,30.519051,-51.024410
570,100.325172,29.539251,31.518892,-51.028820
571,100.335487,29.539188,32.518734,-51.032928
572,100.345810,29.539124,33.519318,-51.037155
